statement,label,country,cities,stated_k,actual_k
"Exactly 1 of the following cities are in Pakistan: Peshawar, Maiduguri.",1,Pakistan,"('Maiduguri', 'Peshawar')",1,1
"Exactly 2 of the following cities are in Pakistan: Quetta, Arifwala.",1,Pakistan,"('Arifwala', 'Quetta')",2,2
"Exactly 2 of the following cities are in Uzbekistan: Samarkand, Namangan.",1,Uzbekistan,"('Namangan', 'Samarkand')",2,2
"Exactly 0 of the following cities are in Sao Tome and Principe: Antalya, Kanayannur.",1,Sao Tome and Principe,"('Antalya', 'Kanayannur')",0,0
"Exactly 1 of the following cities are in Lithuania: Bhubaneswar, Erbil.",0,Lithuania,"('Bhubaneswar', 'Erbil')",1,0
"Exactly 0 of the following cities are in Guatemala: Adana, Kampala.",1,Guatemala,"('Adana', 'Kampala')",0,0
"Exactly 0 of the following cities are in South Korea: Budapest, Jeonju.",0,South Korea,"('Budapest', 'Jeonju')",0,1
"Exactly 0 of the following cities are in Nigeria: Omdurman, Tiruppur.",1,Nigeria,"('Omdurman', 'Tiruppur')",0,0
"Exactly 2 of the following cities are in Nigeria: Osogbo, Owerri.",1,Nigeria,"('Osogbo', 'Owerri')",2,2
"Exactly 2 of the following cities are in Moldova: Jamnagar, Malingao.",0,Moldova,"('Jamnagar', 'Malingao')",2,0
"Exactly 0 of the following cities are in Malaysia: Petaling Jaya, Culiacan.",0,Malaysia,"('Culiacan', 'Petaling Jaya')",0,1
"Exactly 2 of the following cities are in Nigeria: Abuja, Abeokuta.",1,Nigeria,"('Abeokuta', 'Abuja')",2,2
"Exactly 1 of the following cities are in Uganda: Kampala, Mukalla.",1,Uganda,"('Kampala', 'Mukalla')",1,1
"Exactly 2 of the following cities are in Japan: Hamamatsu, Kumamoto.",1,Japan,"('Hamamatsu', 'Kumamoto')",2,2
"Exactly 0 of the following cities are in Tanzania: Mumbai, Zanzibar.",0,Tanzania,"('Mumbai', 'Zanzibar')",0,1
"Exactly 0 of the following cities are in Djibouti: Balbala, Jamshedpur.",0,Djibouti,"('Balbala', 'Jamshedpur')",0,1
"Exactly 1 of the following cities are in Ethiopia: Addis Ababa, Bhiwandi.",1,Ethiopia,"('Addis Ababa', 'Bhiwandi')",1,1
"Exactly 1 of the following cities are in Mexico: Naucalpan de Juarez, Ecatepec de Morelos.",0,Mexico,"('Ecatepec de Morelos', 'Naucalpan de Juarez')",1,2
"Exactly 2 of the following cities are in Mexico: Iztapalapa, Zapopan.",1,Mexico,"('Iztapalapa', 'Zapopan')",2,2
"Exactly 2 of the following cities are in Egypt: Shubra al Khaymah, Assiut.",1,Egypt,"('Assiut', 'Shubra al Khaymah')",2,2
"Exactly 0 of the following cities are in Iran: Arak, Ahvaz.",0,Iran,"('Ahvaz', 'Arak')",0,2
"Exactly 0 of the following cities are in Iran: Arak, Kayseri.",0,Iran,"('Arak', 'Kayseri')",0,1
"Exactly 2 of the following cities are in Tanzania: Zanzibar, Dar es Salaam.",1,Tanzania,"('Dar es Salaam', 'Zanzibar')",2,2
"Exactly 1 of the following cities are in Djibouti: Zibo, Balbala.",1,Djibouti,"('Balbala', 'Zibo')",1,1
"Exactly 0 of the following cities are in Brazil: Ananindeua, Aleppo.",0,Brazil,"('Aleppo', 'Ananindeua')",0,1
"Exactly 0 of the following cities are in Nigeria: Ilorin, Calabar.",0,Nigeria,"('Calabar', 'Ilorin')",0,2
"Exactly 0 of the following cities are in Australia: Abuja, Zhumadian.",1,Australia,"('Abuja', 'Zhumadian')",0,0
"Exactly 0 of the following cities are in Egypt: Torreon, Assiut.",0,Egypt,"('Assiut', 'Torreon')",0,1
"Exactly 1 of the following cities are in Guinea-Bissau: Setagaya, Meizhou.",0,Guinea-Bissau,"('Meizhou', 'Setagaya')",1,0
"Exactly 1 of the following cities are in Malaysia: Selayang Baru Utara, Kampung Baru Subang.",0,Malaysia,"('Kampung Baru Subang', 'Selayang Baru Utara')",1,2
"Exactly 2 of the following cities are in Kazakhstan: Aqsu, Almaty.",0,Kazakhstan,"('Almaty', 'Aqsu')",2,1
"Exactly 2 of the following cities are in Brazil: Teresina, Jaboatao dos Guararapes.",1,Brazil,"('Jaboatao dos Guararapes', 'Teresina')",2,2
"Exactly 0 of the following cities are in Afghanistan: Bannu, Kasur.",1,Afghanistan,"('Bannu', 'Kasur')",0,0
"Exactly 1 of the following cities are in Turkey: Izmir, Aqsu.",1,Turkey,"('Aqsu', 'Izmir')",1,1
"Exactly 0 of the following cities are in Iraq: Pekanbaru, Soshanguve.",1,Iraq,"('Pekanbaru', 'Soshanguve')",0,0
"Exactly 1 of the following cities are in Bhutan: Caracas, Huaibei.",0,Bhutan,"('Caracas', 'Huaibei')",1,0
"Exactly 0 of the following cities are in El Salvador: Pyongyang, Jiaozhou.",1,El Salvador,"('Jiaozhou', 'Pyongyang')",0,0
"Exactly 1 of the following cities are in Colombia: Ibague, Barranquilla.",0,Colombia,"('Barranquilla', 'Ibague')",1,2
"Exactly 1 of the following cities are in Malaysia: Johor Bahru, Abobo.",1,Malaysia,"('Abobo', 'Johor Bahru')",1,1
"Exactly 0 of the following cities are in China: Huludao, Lueliang.",0,China,"('Huludao', 'Lueliang')",0,2
"Exactly 1 of the following cities are in Venezuela: Barquisimeto, Zhangjiagang.",1,Venezuela,"('Barquisimeto', 'Zhangjiagang')",1,1
"Exactly 2 of the following cities are in Tanzania: Istanbul, Dodoma.",0,Tanzania,"('Dodoma', 'Istanbul')",2,1
"Exactly 1 of the following cities are in Sri Lanka: Niigata, Hebi.",0,Sri Lanka,"('Hebi', 'Niigata')",1,0
"Exactly 2 of the following cities are in Russia: Krasnodar, Kemerovo.",1,Russia,"('Kemerovo', 'Krasnodar')",2,2
"Exactly 0 of the following cities are in Chad: N'Djamena, Sanmenxia.",0,Chad,"(""N'Djamena"", 'Sanmenxia')",0,1
"Exactly 2 of the following cities are in Tuvalu: Zaria, Bien Hoa.",0,Tuvalu,"('Bien Hoa', 'Zaria')",2,0
"Exactly 1 of the following cities are in Switzerland: Abu Ghurayb, Maoming.",0,Switzerland,"('Abu Ghurayb', 'Maoming')",1,0
"Exactly 2 of the following cities are in South Africa: Cape Town, Thembisa.",1,South Africa,"('Cape Town', 'Thembisa')",2,2
"Exactly 0 of the following cities are in Albania: Arifwala, Zhuzhou.",1,Albania,"('Arifwala', 'Zhuzhou')",0,0
"Exactly 0 of the following cities are in Uganda: Coimbatore, Diyarbakir.",1,Uganda,"('Coimbatore', 'Diyarbakir')",0,0
"Exactly 2 of the following cities are in Turkmenistan: Pietermaritzburg, Irkutsk.",0,Turkmenistan,"('Irkutsk', 'Pietermaritzburg')",2,0
"Exactly 0 of the following cities are in Ghana: Quetta, Jamnagar.",1,Ghana,"('Jamnagar', 'Quetta')",0,0
"Exactly 0 of the following cities are in the Maldives: Fukuoka, Vijayawada.",1,the Maldives,"('Fukuoka', 'Vijayawada')",0,0
"Exactly 2 of the following cities are in Jordan: Indore, Mirpur Model Thana.",0,Jordan,"('Indore', 'Mirpur Model Thana')",2,0
"Exactly 0 of the following cities are in Egypt: Suez, Assiut.",0,Egypt,"('Assiut', 'Suez')",0,2
"Exactly 2 of the following cities are in Mauritius: Dakar, Fes.",0,Mauritius,"('Dakar', 'Fes')",2,0
"Exactly 1 of the following cities are in Iraq: Al Mawsil al Jadidah, Basrah.",0,Iraq,"('Al Mawsil al Jadidah', 'Basrah')",1,2
"Exactly 2 of the following cities are in South Korea: Hwaseong-si, Changwon.",1,South Korea,"('Changwon', 'Hwaseong-si')",2,2
"Exactly 1 of the following cities are in Vietnam: Krasnodar, Cho Lon.",1,Vietnam,"('Cho Lon', 'Krasnodar')",1,1
"Exactly 1 of the following cities are in Oman: Muscat, Nasiriyah.",1,Oman,"('Muscat', 'Nasiriyah')",1,1
"Exactly 0 of the following cities are in Sweden: Adana, Amman.",1,Sweden,"('Adana', 'Amman')",0,0
"Exactly 2 of the following cities are in Venezuela: Caracas, Barquisimeto.",1,Venezuela,"('Barquisimeto', 'Caracas')",2,2
"Exactly 0 of the following cities are in Saint Vincent and the Grenadines: Kumamoto, Bandar Lampung.",1,Saint Vincent and the Grenadines,"('Bandar Lampung', 'Kumamoto')",0,0
"Exactly 1 of the following cities are in Indonesia: Riga, Malang.",1,Indonesia,"('Malang', 'Riga')",1,1
"Exactly 2 of the following cities are in China: Rui'an, Anqing.",1,China,"('Anqing', ""Rui'an"")",2,2
"Exactly 1 of the following cities are in Samoa: Izmir, Seoul.",0,Samoa,"('Izmir', 'Seoul')",1,0
"Exactly 1 of the following cities are in Turkey: Esenler, Bikaner.",1,Turkey,"('Bikaner', 'Esenler')",1,1
"Exactly 1 of the following cities are in the Gambia: Amman, Camayenne.",0,the Gambia,"('Amman', 'Camayenne')",1,0
"Exactly 1 of the following cities are in Germany: Koeln, Dortmund.",0,Germany,"('Dortmund', 'Koeln')",1,2
"Exactly 0 of the following cities are in Iraq: Hengyang, Borama.",1,Iraq,"('Borama', 'Hengyang')",0,0
"Exactly 0 of the following cities are in Iraq: Sadr City, Mohammadpur.",0,Iraq,"('Mohammadpur', 'Sadr City')",0,1
"Exactly 2 of the following cities are in China: Tianshui, Ulanqab.",1,China,"('Tianshui', 'Ulanqab')",2,2
"Exactly 2 of the following cities are in Myanmar: Jilin, Nay Pyi Taw.",0,Myanmar,"('Jilin', 'Nay Pyi Taw')",2,1
"Exactly 0 of the following cities are in Saudi Arabia: Najran, Buraydah.",0,Saudi Arabia,"('Buraydah', 'Najran')",0,2
"Exactly 2 of the following cities are in Peru: Piura, Arequipa.",1,Peru,"('Arequipa', 'Piura')",2,2
"Exactly 0 of the following cities are in Norway: Jiamusi, Oslo.",0,Norway,"('Jiamusi', 'Oslo')",0,1
"Exactly 0 of the following cities are in Egypt: Madinat an Nasr, Vilnius.",0,Egypt,"('Madinat an Nasr', 'Vilnius')",0,1
"Exactly 1 of the following cities are in Japan: Kobe, Hamamatsu.",0,Japan,"('Hamamatsu', 'Kobe')",1,2
"Exactly 2 of the following cities are in South Africa: Nairobi, Gqeberha.",0,South Africa,"('Gqeberha', 'Nairobi')",2,1
"Exactly 2 of the following cities are in Benin: Hongkou, Petaling Jaya.",0,Benin,"('Hongkou', 'Petaling Jaya')",2,0
"Exactly 2 of the following cities are in Thailand: Bangkok, Tanggu.",0,Thailand,"('Bangkok', 'Tanggu')",2,1
"Exactly 0 of the following cities are in Malawi: Mogadishu, Ta'if.",1,Malawi,"('Mogadishu', ""Ta'if"")",0,0
"Exactly 1 of the following cities are in Tunisia: Phnom Penh, Borama.",0,Tunisia,"('Borama', 'Phnom Penh')",1,0
"Exactly 0 of the following cities are in Algeria: Luohe, Lusaka.",1,Algeria,"('Luohe', 'Lusaka')",0,0
"Exactly 1 of the following cities are in Argentina: San Miguel de Tucuman, Mar del Plata.",0,Argentina,"('Mar del Plata', 'San Miguel de Tucuman')",1,2
"Exactly 2 of the following cities are in Indonesia: Jakarta, Makassar.",1,Indonesia,"('Jakarta', 'Makassar')",2,2
"Exactly 1 of the following cities are in Ukraine: Odesa, Khartoum.",1,Ukraine,"('Khartoum', 'Odesa')",1,1
"Exactly 1 of the following cities are in Sweden: Frankfurt am Main, Stockholm.",1,Sweden,"('Frankfurt am Main', 'Stockholm')",1,1
"Exactly 1 of the following cities are in Kenya: Mombasa, Dalian.",1,Kenya,"('Dalian', 'Mombasa')",1,1
"Exactly 0 of the following cities are in Iran: Isfahan, Dera Ismail Khan.",0,Iran,"('Dera Ismail Khan', 'Isfahan')",0,1
"Exactly 1 of the following cities are in Portugal: Mersin, Nyala.",0,Portugal,"('Mersin', 'Nyala')",1,0
"Exactly 0 of the following cities are in Haiti: Rui'an, Bannu.",1,Haiti,"('Bannu', ""Rui'an"")",0,0
"Exactly 1 of the following cities are in Uganda: Managua, Nansana.",1,Uganda,"('Managua', 'Nansana')",1,1
"Exactly 2 of the following cities are in Indonesia: Tasikmalaya, Samarinda.",1,Indonesia,"('Samarinda', 'Tasikmalaya')",2,2
"Exactly 2 of the following cities are in Sri Lanka: Algiers, Niteroi.",0,Sri Lanka,"('Algiers', 'Niteroi')",2,0
"Exactly 2 of the following cities are in Vietnam: Da Nang, Qui Nhon.",1,Vietnam,"('Da Nang', 'Qui Nhon')",2,2
"Exactly 2 of the following cities are in India: Kozhikode, Nagpur.",1,India,"('Kozhikode', 'Nagpur')",2,2
"Exactly 0 of the following cities are in Hungary: Pest, Budapest.",0,Hungary,"('Budapest', 'Pest')",0,2
"Exactly 0 of the following cities are in China: Wanzhou, Zibo.",0,China,"('Wanzhou', 'Zibo')",0,2
"Exactly 0 of the following cities are in Nauru: Liaocheng, Yerevan.",1,Nauru,"('Liaocheng', 'Yerevan')",0,0
"Exactly 0 of the following cities are in Turkey: Bagcilar, Yekaterinburg.",0,Turkey,"('Bagcilar', 'Yekaterinburg')",0,1
"Exactly 1 of the following cities are in Guatemala: Huzhou, Guatemala City.",1,Guatemala,"('Guatemala City', 'Huzhou')",1,1
"Exactly 1 of the following cities are in South Korea: Ansan-si, Kimhae.",0,South Korea,"('Ansan-si', 'Kimhae')",1,2
"Exactly 2 of the following cities are in the Netherlands: Kitwe, Bilimora.",0,the Netherlands,"('Bilimora', 'Kitwe')",2,0
"Exactly 0 of the following cities are in Lebanon: Niluefer, Bouake.",1,Lebanon,"('Bouake', 'Niluefer')",0,0
"Exactly 0 of the following cities are in Ethiopia: Seattle, Shantou.",1,Ethiopia,"('Seattle', 'Shantou')",0,0
"Exactly 1 of the following cities are in Lesotho: Budta, Sorocaba.",0,Lesotho,"('Budta', 'Sorocaba')",1,0
"Exactly 1 of the following cities are in Bangladesh: Dhanbad, Gazipur.",1,Bangladesh,"('Dhanbad', 'Gazipur')",1,1
"Exactly 2 of the following cities are in the Bahamas: Mandalay, Likasi.",0,the Bahamas,"('Likasi', 'Mandalay')",2,0
"Exactly 1 of the following cities are in Latvia: Linfen, Riga.",1,Latvia,"('Linfen', 'Riga')",1,1
"Exactly 0 of the following cities are in Eritrea: UEruemqi, Asmara.",0,Eritrea,"('Asmara', 'UEruemqi')",0,1
"Exactly 1 of the following cities are in North Korea: Manaus, Quezon City.",0,North Korea,"('Manaus', 'Quezon City')",1,0
"Exactly 1 of the following cities are in Kyrgyzstan: Bishkek, Kagoshima.",1,Kyrgyzstan,"('Bishkek', 'Kagoshima')",1,1
"Exactly 1 of the following cities are in Thailand: Lianyungang, Jamnagar.",0,Thailand,"('Jamnagar', 'Lianyungang')",1,0
"Exactly 2 of the following cities are in Paraguay: Chelyabinsk, Changshu.",0,Paraguay,"('Changshu', 'Chelyabinsk')",2,0
"Exactly 1 of the following cities are in Venezuela: Deyang, Okara.",0,Venezuela,"('Deyang', 'Okara')",1,0
"Exactly 2 of the following cities are in South Africa: Yichang, Taguig.",0,South Africa,"('Taguig', 'Yichang')",2,0
"Exactly 1 of the following cities are in Djibouti: Xuchang, Balbala.",1,Djibouti,"('Balbala', 'Xuchang')",1,1
"Exactly 2 of the following cities are in China: Mudanjiang, Ningbo.",1,China,"('Mudanjiang', 'Ningbo')",2,2
"Exactly 1 of the following cities are in Azerbaijan: Zhangzhou, Tokyo.",0,Azerbaijan,"('Tokyo', 'Zhangzhou')",1,0
"Exactly 1 of the following cities are in the Dominican Republic: Teni, Ananindeua.",0,the Dominican Republic,"('Ananindeua', 'Teni')",1,0
"Exactly 0 of the following cities are in Sierra Leone: Cuautitlan Izcalli, Guli.",1,Sierra Leone,"('Cuautitlan Izcalli', 'Guli')",0,0
"Exactly 1 of the following cities are in Côte d'Ivoire: Bhayandar, Abidjan.",1,Côte d'Ivoire,"('Abidjan', 'Bhayandar')",1,1
"Exactly 2 of the following cities are in Canada: Calgary, Aracaju.",0,Canada,"('Aracaju', 'Calgary')",2,1
"Exactly 0 of the following cities are in Canada: Abidjan, Mississauga.",0,Canada,"('Abidjan', 'Mississauga')",0,1
"Exactly 2 of the following cities are in Togo: Tiruchirappalli, Denpasar.",0,Togo,"('Denpasar', 'Tiruchirappalli')",2,0
"Exactly 1 of the following cities are in Iceland: Mukim Pulai, Gazipur.",0,Iceland,"('Gazipur', 'Mukim Pulai')",1,0
"Exactly 1 of the following cities are in Vietnam: Khabarovsk, Liupanshui.",0,Vietnam,"('Khabarovsk', 'Liupanshui')",1,0
"Exactly 1 of the following cities are in Nigeria: Kathmandu, Ya'an.",0,Nigeria,"('Kathmandu', ""Ya'an"")",1,0
"Exactly 1 of the following cities are in Malawi: Maceio, Bujumbura.",0,Malawi,"('Bujumbura', 'Maceio')",1,0
"Exactly 1 of the following cities are in Canada: Cagayan de Oro, Calgary.",1,Canada,"('Cagayan de Oro', 'Calgary')",1,1
"Exactly 2 of the following cities are in Indonesia: Ajmer, Agege.",0,Indonesia,"('Agege', 'Ajmer')",2,0
"Exactly 0 of the following cities are in Chile: Luohe, Puente Alto.",0,Chile,"('Luohe', 'Puente Alto')",0,1
"Exactly 0 of the following cities are in Paraguay: Naucalpan de Juarez, Erode.",1,Paraguay,"('Erode', 'Naucalpan de Juarez')",0,0
"Exactly 0 of the following cities are in Ukraine: Kharkiv, Lviv.",0,Ukraine,"('Kharkiv', 'Lviv')",0,2
"Exactly 1 of the following cities are in Samoa: Nanchong, Guang'an.",0,Samoa,"(""Guang'an"", 'Nanchong')",1,0
"Exactly 2 of the following cities are in Mongolia: Kallakurichi, Juiz de Fora.",0,Mongolia,"('Juiz de Fora', 'Kallakurichi')",2,0
"Exactly 2 of the following cities are in the United States: Tucson, Fort Worth.",1,the United States,"('Fort Worth', 'Tucson')",2,2
"Exactly 1 of the following cities are in the Democratic Republic of the Congo: Minsk, Likasi.",1,the Democratic Republic of the Congo,"('Likasi', 'Minsk')",1,1
"Exactly 1 of the following cities are in Switzerland: Ipoh, Rajkot.",0,Switzerland,"('Ipoh', 'Rajkot')",1,0
"Exactly 2 of the following cities are in Samoa: Ar Raqqah, Matola.",0,Samoa,"('Ar Raqqah', 'Matola')",2,0
"Exactly 0 of the following cities are in Jordan: Amman, Krakow.",0,Jordan,"('Amman', 'Krakow')",0,1
"Exactly 1 of the following cities are in Burkina Faso: Feira de Santana, Makati City.",0,Burkina Faso,"('Feira de Santana', 'Makati City')",1,0
"Exactly 2 of the following cities are in Brazil: Goiania, Sao Jose dos Campos.",1,Brazil,"('Goiania', 'Sao Jose dos Campos')",2,2
"Exactly 2 of the following cities are in Saudi Arabia: Madinah, Buraydah.",1,Saudi Arabia,"('Buraydah', 'Madinah')",2,2
"Exactly 0 of the following cities are in Samoa: Aracaju, Johor Bahru.",1,Samoa,"('Aracaju', 'Johor Bahru')",0,0
"Exactly 0 of the following cities are in Zimbabwe: Bulawayo, Yekaterinburg.",0,Zimbabwe,"('Bulawayo', 'Yekaterinburg')",0,1
"Exactly 2 of the following cities are in the Democratic Republic of the Congo: Mbuji-Mayi, Kolwezi.",1,the Democratic Republic of the Congo,"('Kolwezi', 'Mbuji-Mayi')",2,2
"Exactly 0 of the following cities are in Zambia: Lusaka, Kunshan.",0,Zambia,"('Kunshan', 'Lusaka')",0,1
"Exactly 1 of the following cities are in Russia: Tomsk, Huizhou.",1,Russia,"('Huizhou', 'Tomsk')",1,1
"Exactly 2 of the following cities are in Malaysia: Kampala, Ndola.",0,Malaysia,"('Kampala', 'Ndola')",2,0
"Exactly 0 of the following cities are in Uzbekistan: Namangan, Andijon.",0,Uzbekistan,"('Andijon', 'Namangan')",0,2
"Exactly 0 of the following cities are in Sweden: Bandar Lampung, Juiz de Fora.",1,Sweden,"('Bandar Lampung', 'Juiz de Fora')",0,0
"Exactly 2 of the following cities are in Gabon: Dar es Salaam, Bhilai.",0,Gabon,"('Bhilai', 'Dar es Salaam')",2,0
"Exactly 1 of the following cities are in Romania: Caloocan, Gustavo Adolfo Madero.",0,Romania,"('Caloocan', 'Gustavo Adolfo Madero')",1,0
"Exactly 0 of the following cities are in Morocco: Tangier, Marrakesh.",0,Morocco,"('Marrakesh', 'Tangier')",0,2
"Exactly 1 of the following cities are in Iceland: Ecatepec de Morelos, Maceio.",0,Iceland,"('Ecatepec de Morelos', 'Maceio')",1,0
"Exactly 2 of the following cities are in Norway: Oslo, Porto Alegre.",0,Norway,"('Oslo', 'Porto Alegre')",2,1
"Exactly 0 of the following cities are in Brazil: Porto Alegre, Ananindeua.",0,Brazil,"('Ananindeua', 'Porto Alegre')",0,2
"Exactly 2 of the following cities are in Japan: Anshan, Dhanbad.",0,Japan,"('Anshan', 'Dhanbad')",2,0
"Exactly 1 of the following cities are in Nigeria: Osogbo, Winnipeg.",1,Nigeria,"('Osogbo', 'Winnipeg')",1,1
"Exactly 2 of the following cities are in the Democratic Republic of the Congo: Likasi, Kinshasa.",1,the Democratic Republic of the Congo,"('Kinshasa', 'Likasi')",2,2
"Exactly 2 of the following cities are in Swaziland: Niigata, Sevastopol.",0,Swaziland,"('Niigata', 'Sevastopol')",2,0
"Exactly 1 of the following cities are in Nigeria: Managua, Jaboatao dos Guararapes.",0,Nigeria,"('Jaboatao dos Guararapes', 'Managua')",1,0
"Exactly 0 of the following cities are in Peru: Piura, Port-au-Prince.",0,Peru,"('Piura', 'Port-au-Prince')",0,1
"Exactly 2 of the following cities are in Saudi Arabia: Makkah, Ha'il.",1,Saudi Arabia,"(""Ha'il"", 'Makkah')",2,2
"Exactly 0 of the following cities are in Honduras: Davao, Tegucigalpa.",0,Honduras,"('Davao', 'Tegucigalpa')",0,1
"Exactly 0 of the following cities are in Guinea: Conakry, Guankou.",0,Guinea,"('Conakry', 'Guankou')",0,1
"Exactly 1 of the following cities are in Russia: Istanbul, Ulyanovsk.",1,Russia,"('Istanbul', 'Ulyanovsk')",1,1
"Exactly 0 of the following cities are in Nepal: Kathmandu, Pokhara.",0,Nepal,"('Kathmandu', 'Pokhara')",0,2
"Exactly 2 of the following cities are in India: Surat, Prayagraj.",1,India,"('Prayagraj', 'Surat')",2,2
"Exactly 1 of the following cities are in Mozambique: Rio de Janeiro, Tlalpan.",0,Mozambique,"('Rio de Janeiro', 'Tlalpan')",1,0
"Exactly 1 of the following cities are in Dominica: Florianopolis, Ulan Bator.",0,Dominica,"('Florianopolis', 'Ulan Bator')",1,0
"Exactly 2 of the following cities are in Pakistan: Arequipa, Kasur.",0,Pakistan,"('Arequipa', 'Kasur')",2,1
"Exactly 0 of the following cities are in North Korea: Florianopolis, Arak.",1,North Korea,"('Arak', 'Florianopolis')",0,0
"Exactly 1 of the following cities are in Burkina Faso: Bobo-Dioulasso, Algiers.",1,Burkina Faso,"('Algiers', 'Bobo-Dioulasso')",1,1
"Exactly 1 of the following cities are in Malaysia: Subang Jaya, Kampung Baru Subang.",0,Malaysia,"('Kampung Baru Subang', 'Subang Jaya')",1,2
"Exactly 0 of the following cities are in Latvia: Al Basrah al Qadimah, Rasapudipalem.",1,Latvia,"('Al Basrah al Qadimah', 'Rasapudipalem')",0,0
"Exactly 1 of the following cities are in Moldova: Chisinau, Selayang Baru Utara.",1,Moldova,"('Chisinau', 'Selayang Baru Utara')",1,1
"Exactly 2 of the following cities are in Canada: Calgary, Mississauga.",1,Canada,"('Calgary', 'Mississauga')",2,2
"Exactly 0 of the following cities are in Thailand: Shangrao, Aparecida de Goiania.",1,Thailand,"('Aparecida de Goiania', 'Shangrao')",0,0
"Exactly 2 of the following cities are in Chad: N'Djamena, Phnom Penh.",0,Chad,"(""N'Djamena"", 'Phnom Penh')",2,1
"Exactly 1 of the following cities are in Zambia: Bikaner, Gqeberha.",0,Zambia,"('Bikaner', 'Gqeberha')",1,0
"Exactly 1 of the following cities are in Morocco: Golfe, Bayan Nur.",0,Morocco,"('Bayan Nur', 'Golfe')",1,0
"Exactly 2 of the following cities are in Mexico: Mexico City, Torreon.",1,Mexico,"('Mexico City', 'Torreon')",2,2
"Exactly 1 of the following cities are in Burkina Faso: Ouagadougou, Leipzig.",1,Burkina Faso,"('Leipzig', 'Ouagadougou')",1,1
"Exactly 1 of the following cities are in Germany: Khartoum, Abu Ghurayb.",0,Germany,"('Abu Ghurayb', 'Khartoum')",1,0
"Exactly 1 of the following cities are in Argentina: Kolhapur, Maianga.",0,Argentina,"('Kolhapur', 'Maianga')",1,0
"Exactly 1 of the following cities are in Lebanon: Ra's Bayrut, Kayseri.",1,Lebanon,"('Kayseri', ""Ra's Bayrut"")",1,1
"Exactly 1 of the following cities are in India: Liupanshui, Sungai Petani.",0,India,"('Liupanshui', 'Sungai Petani')",1,0
"Exactly 2 of the following cities are in Iraq: Nasiriyah, Al Basrah al Qadimah.",1,Iraq,"('Al Basrah al Qadimah', 'Nasiriyah')",2,2
"Exactly 0 of the following cities are in Croatia: Abeokuta, Shubra al Khaymah.",1,Croatia,"('Abeokuta', 'Shubra al Khaymah')",0,0
"Exactly 0 of the following cities are in Madagascar: Antananarivo, Gustavo Adolfo Madero.",0,Madagascar,"('Antananarivo', 'Gustavo Adolfo Madero')",0,1
"Exactly 1 of the following cities are in Jordan: Zarqa, Kota Kinabalu.",1,Jordan,"('Kota Kinabalu', 'Zarqa')",1,1
"Exactly 0 of the following cities are in Canada: Ashgabat, Calgary.",0,Canada,"('Ashgabat', 'Calgary')",0,1
"Exactly 0 of the following cities are in Syria: Aden, Okara.",1,Syria,"('Aden', 'Okara')",0,0
"Exactly 2 of the following cities are in Ghana: Kumasi, Ulyanovsk.",0,Ghana,"('Kumasi', 'Ulyanovsk')",2,1
"Exactly 1 of the following cities are in Egypt: Port Said, Suez.",0,Egypt,"('Port Said', 'Suez')",1,2
"Exactly 0 of the following cities are in New Zealand: Zhanjiang, Hanzhong.",1,New Zealand,"('Hanzhong', 'Zhanjiang')",0,0
"Exactly 1 of the following cities are in Mexico: Muzaffarabad, Malatya.",0,Mexico,"('Malatya', 'Muzaffarabad')",1,0
"Exactly 1 of the following cities are in Denmark: Khulna, Copenhagen.",1,Denmark,"('Copenhagen', 'Khulna')",1,1
"Exactly 0 of the following cities are in Madagascar: Antananarivo, Milwaukee.",0,Madagascar,"('Antananarivo', 'Milwaukee')",0,1
"Exactly 0 of the following cities are in New Zealand: Denpasar, Dnipro.",1,New Zealand,"('Denpasar', 'Dnipro')",0,0
"Exactly 0 of the following cities are in Syria: Latakia, Aleppo.",0,Syria,"('Aleppo', 'Latakia')",0,2
"Exactly 2 of the following cities are in Togo: Tlaquepaque, Lome.",0,Togo,"('Lome', 'Tlaquepaque')",2,1
"Exactly 2 of the following cities are in Romania: Callao, Bucharest.",0,Romania,"('Bucharest', 'Callao')",2,1
"Exactly 0 of the following cities are in Turkmenistan: Ashgabat, Tolyatti.",0,Turkmenistan,"('Ashgabat', 'Tolyatti')",0,1
"Exactly 1 of the following cities are in Rwanda: Madinah, Tijuana.",0,Rwanda,"('Madinah', 'Tijuana')",1,0
"Exactly 0 of the following cities are in Zimbabwe: Bareilly, Leipzig.",1,Zimbabwe,"('Bareilly', 'Leipzig')",0,0
"Exactly 1 of the following cities are in Mauritania: Odesa, Nouakchott.",1,Mauritania,"('Nouakchott', 'Odesa')",1,1
"Exactly 1 of the following cities are in Iran: Qom, Kemerovo.",1,Iran,"('Kemerovo', 'Qom')",1,1
"Exactly 2 of the following cities are in Luxembourg: Torreon, Kagoshima.",0,Luxembourg,"('Kagoshima', 'Torreon')",2,0
"Exactly 2 of the following cities are in Yemen: Ibb, Al Hudaydah.",1,Yemen,"('Al Hudaydah', 'Ibb')",2,2
"Exactly 1 of the following cities are in Tanzania: Dar es Salaam, Goyang-si.",1,Tanzania,"('Dar es Salaam', 'Goyang-si')",1,1
"Exactly 2 of the following cities are in Japan: Kitakyushu, Niigata.",1,Japan,"('Kitakyushu', 'Niigata')",2,2
"Exactly 1 of the following cities are in Syria: Ar Raqqah, Zhanjiang.",1,Syria,"('Ar Raqqah', 'Zhanjiang')",1,1
